sample,angle,aspect,total_cover,moss_fraction,crustose,fruticose,foliose,species,deviation_north,solar_radiation
4,-31,260,8,3,1,0,1,"G_c,O_c,W_c,Bl_f",100,1749116
5,-6,298,3,5,1,0,1,"Bl_f,W_c,G_c,O_c",62,1702451
6,-16,351,17,29,1,0,0,"W_c,G_c",9,1746397
7,-12,129,1,0,1,0,0,"W_c,O_c",129,1626249
8,-17,55,6,11,1,0,0,"G_c,W_c,O_c",55,1541382
9,-17,321,48,4,1,0,1,"O_c,W_c,G_c,W_f",39,
10,-23,324,38,89,1,0,1,"O_c,W_c,G_c,W_f,Bl_f",36,
11,8,6,10,0,1,0,0,"G_c,O_c,W_c,GR_c",6,1562656
12,-9,286,1,0,1,0,0,"G_c,W_c ",74,1733553
13,-10,12,39,10,1,1,1,"W_c,W_fr,W_f,G_c,GR_c",12,1659893
14,-3,16,43,3,1,1,0,"W_fr,G_c,W_c,GR_c",16,1597429
15,-12,23,20,57,1,0,1,"W_f,G_c,W_c",23,1674168
16,0,0,43,1,1,1,1,"W_c,W_c,W_fr,Bl_f,G_c,GR_c",0,1255192
17,-8,3,84,14,1,1,1,"W_f,W_c,W_fr,Bl_c,G_c,W_c",3,1029687
18,2,341,55,0,1,0,0,"W_c,G_c,Bl_c,O_c",19,1268132
19,0,2,63,4,1,1,1,"W_c,W_c,W_fr,W_f,G_c",2,1557222
20,24,1,32,24,1,1,1,"W_fr,W_c,W_f,G_c,GR_c",1,1607861
21,-5,1,48,2,1,1,1,"W_fr,W_f,W_c,GR_c,G_c",1,1703458
22,3,6,69,1,1,1,0,"W_fr,W_c,G_c,GR_c",6,1623516
23,-11,352,21,5,1,1,1,"W_fr,W_c,G_c,Bl_f",8,1650079
24,0,145,10,0,1,1,1,"Y_f,G_c,W_c,W_f",145,1665297
25,0,17,49,7,1,1,1,"G_c,W_fr,W_c,W_f,GR_c",17,1679902
26,-25,317,5,43,1,0,0,"G_c,R_c,W_c,O_c",43,1762736
27,27,272,9,12,1,0,0,"G_c,W_c,O_c",88,1760109
28,-15,288,6,61,1,0,0,"W_c,G_c",72,1384907
29,-27,315,35,39,1,0,1,"G_c,W_c,O_c,Bl_c,W_f",45,1667744
30,0,269,9,0,1,0,0,"G_c,W_c,Bl_c",91,1684919
31,-15,270,7,55,1,0,0,"G_c,W_c,O_c",90,1779883
32,-8,300,43,17,1,0,1,"G_c,W_c,R_c,O_c,Bl_c,W_f,Bl_f",60,
33,-23,11,64,70,1,0,1,"G_c,W_c,W_c,Bl_c,O_c,W_f",11,
34,-21,8,47,20,1,0,1,"G_c,W_c,Bl_c,W_f,W_f,O_c",8,
35,2,179,18,95,1,0,0,W_c,179,
36,-27,0,23,33,1,0,1,"W_c,G_c,W_f,Bl_c",0,
37,-23,3,28,24,1,0,1,"W_c,G_c,W_f,Bl_c",3,
38,19,220,18,60,1,0,0,"G_c,W_c,O_c",140,
39,13,283,8,35,1,0,0,"G_c,W_c,O_c",77,
40,-11,17,29,24,1,0,1,"G_c,W_c,O_c,W_f,Bl_f,Bl_c",17,
41,-25,349,39,38,1,0,1,"G_c,W_c,W_f,O_c,Bl_c",11,
42,-24,111,4,3,1,0,0,W_c,111,
43,-6,197,4,46,1,0,1,"G_c,W_f,W_c,O_c",163,
44,-17,72,3,7,1,0,0,"G_c,W_c,O_c",72,
45,-15,27,38,12,1,0,1,"W_c,G_c,O_c,W_f",27,
46,12,257,9,3,1,0,0,"O_c,W_c,G_c",103,